Date,Channel,Leads,Conversions,Revenue ($)
2025-01-13,Influencer,420,36,7128
2025-01-13,LinkedIn Ads,828,77,12474
2025-01-14,Google Ads,236,22,2266
2025-01-14,Meta Ads,147,16,3184
2025-01-14,Email,118,14,1190
2025-01-14,Influencer,800,71,9230
2025-01-14,LinkedIn Ads,556,77,9394
2025-01-15,Google Ads,762,78,13884
2025-01-15,Meta Ads,266,41,6273
2025-01-15,Email,91,10,840
2025-01-15,Influencer,180,11,1727
2025-01-15,LinkedIn Ads,221,43,6493
2025-01-16,Google Ads,915,59,8850
2025-01-16,Meta Ads,93,15,1470
2025-01-16,Email,66,12,1248
2025-01-16,Influencer,546,42,4662
2025-01-16,LinkedIn Ads,641,115,6555
2025-01-17,Google Ads,710,116,19372
2025-01-17,Meta Ads,759,149,20562
2025-01-17,Email,317,26,4108
2025-01-17,Influencer,587,32,1888
2025-01-17,LinkedIn Ads,65,12,900
2025-01-18,Google Ads,135,25,1575
2025-01-18,Meta Ads,384,59,10974
2025-01-18,Email,932,175,18900
2025-01-18,Influencer,776,131,21615
2025-01-18,LinkedIn Ads,984,116,17632
2025-01-19,Google Ads,322,47,7379
2025-01-19,Meta Ads,237,28,5040
2025-01-19,Email,854,110,17270
2025-01-19,Influencer,88,8,424
2025-01-19,LinkedIn Ads,398,59,11210
2025-01-20,Google Ads,771,98,15386
2025-01-20,Meta Ads,943,106,8798
2025-01-20,Email,463,23,1426
2025-01-20,Influencer,190,20,2900
2025-01-20,LinkedIn Ads,788,47,4465
2025-01-21,Google Ads,78,12,1332
2025-01-21,Meta Ads,294,35,2275
2025-01-21,Email,489,44,7480
2025-01-21,Influencer,315,20,3040
2025-01-21,LinkedIn Ads,389,62,3224
2025-01-22,Google Ads,478,49,5733
2025-01-22,Meta Ads,195,16,1952
2025-01-22,Email,448,48,6576
2025-01-22,Influencer,189,36,3096
2025-01-22,LinkedIn Ads,110,9,1557
2025-01-23,Google Ads,759,149,16688
2025-01-23,Meta Ads,351,49,5439
2025-01-23,Email,894,177,17877
2025-01-23,Influencer,821,69,13593
2025-01-23,LinkedIn Ads,910,134,22244
2025-01-24,Google Ads,292,37,4551
2025-01-24,Meta Ads,156,11,572
2025-01-24,Email,937,96,5184
2025-01-24,Influencer,103,20,1160
2025-01-24,LinkedIn Ads,148,20,2200
2025-01-25,Google Ads,940,102,13362
2025-01-25,Meta Ads,111,22,1144
2025-01-25,Email,209,24,1488
2025-01-25,Influencer,169,27,3726
2025-01-25,LinkedIn Ads,378,69,10350
2025-01-26,Google Ads,659,78,9048
2025-01-26,Meta Ads,684,47,8742
2025-01-26,Email,244,47,5875
2025-01-26,Influencer,219,37,3293
2025-01-26,LinkedIn Ads,586,77,13321
2025-01-27,Google Ads,87,7,1274
2025-01-27,Meta Ads,225,27,2322
2025-01-27,Email,365,24,1848
2025-01-27,Influencer,642,38,3572
2025-01-27,LinkedIn Ads,273,34,5576
2025-01-28,Google Ads,747,101,8989
2025-01-28,Meta Ads,915,120,9840
2025-01-28,Email,311,39,5031
2025-01-28,Influencer,217,18,1944
2025-01-28,LinkedIn Ads,620,45,2790
2025-01-29,Google Ads,412,35,5215
2025-01-29,Meta Ads,240,37,2072
2025-01-29,Email,182,33,3531
2025-01-29,Influencer,810,44,3168
2025-01-29,LinkedIn Ads,475,32,4992
2025-01-30,Google Ads,486,78,10218
2025-01-30,Meta Ads,405,54,6804
2025-01-30,Email,573,29,1798
2025-01-30,Influencer,95,9,594
2025-01-30,LinkedIn Ads,409,36,4932
2025-01-31,Google Ads,414,69,8211
2025-01-31,Meta Ads,516,84,10332
2025-01-31,Email,282,54,6048
2025-01-31,Influencer,461,66,5676
2025-01-31,LinkedIn Ads,327,62,8990
